IDs,into_date,out_date
000001.SZ,2017/6/21,
000002.SZ,2018/4/2,
000027.SZ,2017/6/21,
000039.SZ,2017/6/21,
000050.SZ,2018/6/1,
000060.SZ,2017/6/21,
000063.SZ,2017/6/21,
000069.SZ,2017/6/21,
000157.SZ,2017/6/21,
000166.SZ,2018/4/2,
000333.SZ,2017/6/21,
000338.SZ,2017/6/21,
000402.SZ,2017/6/21,
000413.SZ,2017/6/21,
000423.SZ,2017/6/21,
000425.SZ,2017/6/21,
000538.SZ,2018/4/2,
000559.SZ,2017/6/21,
000568.SZ,2017/6/21,
000581.SZ,2017/6/21,
000625.SZ,2017/6/21,
000627.SZ,2017/6/21,
000630.SZ,2017/6/21,
000651.SZ,2018/4/2,
000656.SZ,2018/4/2,
000709.SZ,2017/6/21,
000725.SZ,2017/6/21,
000728.SZ,2017/6/21,
000768.SZ,2017/6/21,
000776.SZ,2017/6/21,
000783.SZ,2017/6/21,
000792.SZ,2017/6/21,
000825.SZ,2017/6/21,
000826.SZ,2017/6/21,
000839.SZ,2017/6/21,
000858.SZ,2017/6/21,
000876.SZ,2017/6/21,
000883.SZ,2017/6/21,
000895.SZ,2017/6/21,
000898.SZ,2017/6/21,
000938.SZ,2017/6/21,
000963.SZ,2017/6/21,
000983.SZ,2017/6/21,
000999.SZ,2017/6/21,
001979.SZ,2017/6/21,
002008.SZ,2018/4/2,
002024.SZ,2017/6/21,
002027.SZ,2018/4/2,
002044.SZ,2018/4/2,
002065.SZ,2018/4/2,
002081.SZ,2017/6/21,
002142.SZ,2017/6/21,
002146.SZ,2017/6/21,
002153.SZ,2017/6/21,
002180.SZ,2018/6/1,
002195.SZ,2017/6/21,
002202.SZ,2017/6/21,
002230.SZ,2017/6/21,
002236.SZ,2017/6/21,
002241.SZ,2017/6/21,
002294.SZ,2017/6/21,
002304.SZ,2017/6/21,
002310.SZ,2017/6/21,
002385.SZ,2017/6/21,
002415.SZ,2017/6/21,
002422.SZ,2018/6/1,
002450.SZ,2017/6/21,
002456.SZ,2018/4/2,
002460.SZ,2018/4/2,
002465.SZ,2018/4/2,
002466.SZ,2017/6/21,
002475.SZ,2017/6/21,
002493.SZ,2018/4/2,
002500.SZ,2017/6/21,
002508.SZ,2017/6/21,
002555.SZ,2018/4/2,
002558.SZ,2018/4/2,
002594.SZ,2017/6/21,
002602.SZ,2018/6/1,
002624.SZ,2018/6/1,
002673.SZ,2017/6/21,
002714.SZ,2018/4/2,
002736.SZ,2017/6/21,
002797.SZ,2018/4/2,
600000.SH,2017/6/21,
600008.SH,2017/6/21,
600009.SH,2017/6/21,
600010.SH,2017/6/21,
600011.SH,2017/6/21,
600015.SH,2017/6/21,
600016.SH,2017/6/21,
600018.SH,2017/6/21,
600019.SH,2018/4/2,
600023.SH,2017/6/21,
600027.SH,2017/6/21,
600028.SH,2017/6/21,
600029.SH,2017/6/21,
600030.SH,2017/6/21,
600031.SH,2017/6/21,
600036.SH,2017/6/21,
600048.SH,2017/6/21,
600061.SH,2017/6/21,
600066.SH,2017/6/21,
600068.SH,2017/6/21,
600085.SH,2017/6/21,
600089.SH,2017/6/21,
600104.SH,2017/6/21,
600109.SH,2017/6/21,
600111.SH,2017/6/21,
600115.SH,2017/6/21,
600118.SH,2017/6/21,
600153.SH,2018/4/2,
600170.SH,2017/6/21,
600177.SH,2017/6/21,
600196.SH,2017/6/21,
600208.SH,2017/6/21,
600271.SH,2017/6/21,
600276.SH,2017/6/21,
600297.SH,2017/6/21,
600332.SH,2017/6/21,
600340.SH,2017/6/21,
600352.SH,2017/6/21,
600362.SH,2017/6/21,
600369.SH,2017/6/21,
600372.SH,2017/6/21,
600373.SH,2017/6/21,
600383.SH,2017/6/21,
600398.SH,2018/6/1,
600415.SH,2017/6/21,
600436.SH,2018/6/1,
600438.SH,2018/6/1,
600482.SH,2017/6/21,
600487.SH,2018/4/2,
600489.SH,2017/6/21,
600516.SH,2018/4/2,
600518.SH,2017/6/21,
600519.SH,2017/6/21,
600535.SH,2017/6/21,
600547.SH,2017/6/21,
600570.SH,2017/6/21,
600583.SH,2017/6/21,
600585.SH,2017/6/21,
600600.SH,2017/6/21,
600606.SH,2018/4/2,
600637.SH,2017/6/21,
600642.SH,2017/6/21,
600660.SH,2017/6/21,
600674.SH,2017/6/21,
600688.SH,2017/6/21,
600690.SH,2017/6/21,
600703.SH,2017/6/21,
600705.SH,2017/6/21,
600739.SH,2018/4/2,
600741.SH,2017/6/21,
600804.SH,2017/6/21,
600808.SH,2017/6/21,
600809.SH,2018/4/2,
600816.SH,2017/6/21,
600820.SH,2017/6/21,
600837.SH,2017/6/21,
600867.SH,2018/6/1,
600886.SH,2017/6/21,
600887.SH,2017/6/21,
600893.SH,2017/6/21,
600895.SH,2017/6/21,
600900.SH,2017/6/21,
600909.SH,2017/6/21,
600919.SH,2017/6/21,
600926.SH,2018/4/2,
600958.SH,2017/6/21,
600977.SH,2017/6/21,
600998.SH,2017/6/21,
600999.SH,2017/6/21,
601006.SH,2017/6/21,
601009.SH,2017/6/21,
601012.SH,2018/4/2,
601018.SH,2017/6/21,
601021.SH,2017/6/21,
601098.SH,2017/6/21,
601111.SH,2017/6/21,
601117.SH,2018/4/2,
601118.SH,2017/6/21,
601155.SH,2017/6/21,
601166.SH,2017/6/21,
601169.SH,2017/6/21,
601186.SH,2017/6/21,
601198.SH,2017/6/21,
601211.SH,2017/6/21,
601225.SH,2018/4/2,
601229.SH,2017/6/21,
601238.SH,2017/6/21,
601288.SH,2017/6/21,
601318.SH,2017/6/21,
601328.SH,2017/6/21,
601333.SH,2017/6/21,
601336.SH,2017/6/21,
601377.SH,2017/6/21,
601390.SH,2017/6/21,
601398.SH,2017/6/21,
601555.SH,2017/6/21,
601601.SH,2017/6/21,
601607.SH,2017/6/21,
601611.SH,2017/6/21,
601618.SH,2017/6/21,
601628.SH,2017/6/21,
601668.SH,2017/6/21,
601669.SH,2017/6/21,
601688.SH,2017/6/21,
601699.SH,2017/6/21,
601718.SH,2017/6/21,
601727.SH,2018/6/1,
601766.SH,2017/6/21,
601788.SH,2017/6/21,
601800.SH,2017/6/21,
601818.SH,2017/6/21,
601857.SH,2017/6/21,
601866.SH,2017/6/21,
601877.SH,2017/6/21,
601888.SH,2017/6/21,
601899.SH,2017/6/21,
601901.SH,2017/6/21,
601919.SH,2018/4/2,
601933.SH,2017/6/21,
601939.SH,2017/6/21,
601958.SH,2017/6/21,
601985.SH,2017/6/21,
601988.SH,2017/6/21,
601992.SH,2017/6/21,
601997.SH,2017/6/21,
601998.SH,2017/6/21,
603288.SH,2017/6/21,
603799.SH,2018/4/2,
603858.SH,2018/6/1,
603993.SH,2017/6/21,
